frame,brisque
328,36.772041
329,36.818050
330,32.350143
331,35.322758
332,36.791687
333,35.555355
334,36.440067
335,33.095661
336,36.534470
337,36.731964
338,34.303299
339,37.086494
340,32.940514
341,33.541134
342,36.450344
343,31.497107
344,31.252508
345,36.434357
346,35.048626
347,48.739437
348,52.016434
349,49.800919
350,55.918858
351,55.915642
352,54.773067
353,56.965801
354,58.676350
355,52.350307
356,56.511894
357,57.589695
358,50.506248
359,52.976837
360,54.089024
361,52.296642
362,52.599247
363,47.936306
364,49.241791
365,38.473175
366,40.124268
367,48.652256
368,50.660069
369,46.095879
370,45.056545
371,39.551487
372,32.596981
373,36.111713
374,47.432522
375,46.277306
376,44.552490
377,50.908978
378,48.401600
379,44.978127
380,45.603867
381,46.004295
382,48.502323
383,46.819412
384,43.769230
385,48.024662
386,46.600121
387,44.327465
388,43.319481
389,45.246681
390,48.185585
391,47.638279
392,47.261097
393,47.159630
394,48.373859
395,48.348484
396,49.779060
397,49.578442
398,51.751518
399,48.626087
400,43.583084
401,46.146595
402,45.781868
403,29.036448
404,25.116119
405,27.836693
406,21.236568
407,25.393465
408,24.585840
409,25.854462
410,25.257757
411,23.704962
412,26.802382
413,26.317774
414,25.835649
415,24.815559
416,25.952585
417,22.550182
418,26.137392
419,24.515150
420,24.127466
421,25.302618
422,25.157536
423,23.584633
424,22.992416
425,28.310263
426,28.180834
427,27.659286
428,28.313507
429,26.545084
430,28.073391
431,30.063940
432,32.124260
433,28.280024
434,27.551369
435,26.431765
436,27.901909
437,27.926268
438,27.478466
439,29.695471
440,31.036680
441,28.537832
442,28.533512
443,29.296864
444,30.494608
445,31.039267
446,29.993311
447,32.514130
448,34.209198
449,38.605286
450,44.034607
451,47.034363
452,52.225338
453,52.868172
454,58.245323
455,62.678471
456,67.463692
457,69.546799
458,70.737381
459,72.260498
460,71.777649
461,71.767189
462,71.762177
463,71.772293
464,71.820007
465,71.842133
466,71.834755
467,71.834755
468,71.834755
469,71.834755
470,71.833244
471,71.833862
472,71.834633
473,71.834633
474,71.832108
475,71.832100
476,71.832100
477,71.832100
478,71.832100
479,71.830170
480,71.897568
481,71.895065
482,71.895065
483,71.895065
484,71.895065
485,71.895065
486,71.895065
487,71.895065
488,71.895065
489,71.895065
490,71.895065
491,71.895065
492,71.895065
493,71.895065
494,71.895065
495,71.895065
496,71.895065
497,71.895065
498,71.895065
499,71.895065
500,72.592148
501,72.597641
502,98.246643
503,99.250473
504,99.250473
505,98.246643
506,98.246643
507,98.246643
508,98.246643
509,98.246643
510,98.246643
511,98.246643
512,98.246643
513,98.246643
514,98.246643
515,98.246643
516,98.246643
517,98.246643
518,98.246643
519,98.246643
520,98.246643
521,98.246643
522,98.246643
523,98.246643
524,98.246643
525,98.246643
526,98.246643
527,98.246643
528,98.246643
529,98.246643
530,98.246643
531,98.246643
532,98.246643
533,98.246643
534,98.246643
535,98.246643
536,98.246643
537,98.246643
538,98.246643
539,98.246643
540,98.246643
541,98.246643
542,98.246643
543,98.246643
544,98.246643
545,98.246643
